v0002_codigo_do_municipio,GeoSES,PRIMEIRA__VAR,SEGUNDA__VAR,TERCEIRA__VAR,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao,educação__VAR,mobilidade__VAR,pobreza__VAR,privacao_material__VAR,riqueza__VAR,renda__VAR,segregacao__VAR
4323101,-0.3866186746766882,P_POBREZA,MED_RENDDOM,P_SO_CARRO,75.32240200021084,0,43.46714534304574,21.14536581744638,0.35799100178322263,1507.7014722761455,0.1638305386288632,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301206,-0.14194510366143875,P_POBREZA,MED_RENDDOM,P_SO_CARRO,69.13716237555964,0,24.40837723467218,40.14897281099377,0.521963712288791,2276.421114858699,0.1800041378798607,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323200,0.07608638617051744,P_POBREZA,MED_RENDDOM,P_SO_CARRO,61.22332531441671,0,8.563986050447198,48.86713470565013,0.4941922137389625,3032.699370484596,0.1966725546340662,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323309,0.05553828392554583,P_POBREZA,MED_RENDDOM,P_SO_CARRO,62.33291196405371,0,8.43129698057571,56.52081386368991,0.0,2634.517081926405,0.1945737097584015,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323358,-0.0768087734559808,P_POBREZA,MED_RENDDOM,P_SO_CARRO,72.09126419243862,0,22.78973335822988,37.92466303056232,0.5941652088731182,2905.5265975679076,0.17339703758058,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301305,-0.31232486366766943,P_POBREZA,MED_RENDDOM,P_SO_CARRO,67.64728769754774,0,39.83885656833074,27.31742112713205,0.754412224772727,1546.6085576737366,0.16700003431724042,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321667,-0.09588206853794823,P_POBREZA,MED_RENDDOM,P_SO_CARRO,64.34957055301909,0,14.893867013880286,41.209513457527386,0.1431314251788809,2281.536395395622,0.19319412732587793,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321709,-0.06418230778385248,P_POBREZA,MED_RENDDOM,P_SO_CARRO,64.68205010336679,0,9.52022387951304,34.66130208313631,1.1059334581322933,2570.307045500353,0.1761676302901929,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323408,0.2504078205430058,P_POBREZA,MED_RENDDOM,P_SO_CARRO,59.830295571205255,0,5.554748475182405,65.64743020779542,1.582820591709,3991.892731708465,0.18857536543510633,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323457,-0.33627275085394026,P_POBREZA,MED_RENDDOM,P_SO_CARRO,66.28232374116183,0,39.86966597745224,34.18607881932274,0.24454007911687903,1269.1048194756481,0.16028215635412835,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
